GEOID,Female.,Age.5.65.,X.15property.,nodiploma.,X.livingalone,X.minority,X.unemployment,X.language,X.renthouse,Novehicle.,X.noinsurance,X.disability,X.computer,X.nointernet,X.nophone,comfa,comfanormal,facility,facilitynormal,NDVI,ndvi-,road,roadnormal,green,green-,X.building,health,,Zscore,,
40109100203,0.538872892,0.194570136,0.114356232,0.158349328,0.11942959,0.530645825,0.057591623,0.053587245,0.443850267,0,0.210612916,0.155491567,0.040998217,0.047237077,0,207.6958606,0.571294679,588.9022967,0.069198804,0.475932343,0.524067657,2.04E-04,0.006724261,0.557648402,0.442351598,0.146840625,0.03253371,4.458604249,0.204905077,,
40109100300,0.540499391,0.194884287,0.040305344,0.012736395,0.055673009,0.172350792,0.004506196,0,0.26286117,0.010289074,0.066075252,0.084735393,0.010570825,0.031007752,0,207.0905283,0.543586626,430.5342615,0.047731026,0.522355203,0.477644797,2.69E-04,0.009907633,0.627478754,0.372521246,0.138749,0.060838369,3.137473577,-1.203584334,,
40109100400,0.468335036,0.186414709,0.164453524,0.2,0.08808933,0.91215526,0.010673783,0,0.501240695,0.079064588,0.164964249,0.195097038,0.091811414,0.253101737,0.032258065,204.8918342,0.442945154,311.8300706,0.03163993,0.532444168,0.467555832,3.67E-04,0.014707179,0.636516854,0.363483146,0.088189297,0.108396624,4.86457659,0.637722023,,
40109100500,0.557547715,0.19086177,0.276842716,0.137614679,0.131360947,0.880277617,0.032258065,0.016493586,0.733727811,0.086357947,0.17106034,0.19390744,0.126627219,0.223668639,0.036686391,210.5305722,0.701048767,361.6163493,0.038388771,0.353727091,0.646272909,2.98E-04,0.011327907,0.268692846,0.731307154,0.168894841,0.123729701,6.216262932,2.078787574,,
40109100800,0.475396163,0.060467056,0.161801501,0.125367287,0.023854962,0.409507923,0.083174905,0.013669372,0.54389313,0.006425703,0.330685619,0.182274247,0.076335878,0.101145038,0.019083969,207.831602,0.57750801,279.224498,0.02722004,0.499686665,0.500313335,2.44E-04,0.008683259,0.575757576,0.424242424,0.142666952,0.080540541,4.374257315,0.114980767,,
40109100900,0.47543966,0.1400849,0.023114355,0.054858934,0.103355705,0.243177683,0.023898432,0,0.197315436,0.005763689,0.107944209,0.06852638,0.029530201,0.029530201,0,207.8792308,0.579688137,297.1432986,0.029649046,0.444576274,0.555423726,2.28E-04,0.00789966,0.459605027,0.540394973,0.146607656,0.116358839,3.478561823,-0.839941894,,
40109101000,0.546272494,0.083868895,0.23538961,0.080331412,0.0304679,0.417095116,0.037620924,0.059399258,0.869423286,0.103040541,0.207583548,0.094473008,0.10663765,0.176278564,0.032644178,210.3509965,0.692828996,290.8522058,0.028796249,0.391252678,0.608747322,2.50E-04,0.008977109,0.353575482,0.646424518,0.169165966,0.062719298,5.298185842,1.100003349,,
40109101100,0.528321318,0.167868177,0.129763131,0.081382386,0.042301184,0.420185376,0.024175824,0,0.698815567,0.16572238,0.203319502,0.14626556,0,0.050761421,0.013536379,209.1617789,0.638394589,224.4565828,0.019795907,0.44409066,0.55590934,3.78E-04,0.015245903,0.537078652,0.462921348,0.134934023,0.223508353,4.723127668,0.486919901,,
40109101200,0.533840304,0.159695817,0.122213682,0.037272006,0.096428571,0.236501901,0.045669291,0.008396947,0.694047619,0.027511962,0.184555985,0.181467181,0.047619048,0.053571429,0.004761905,209.3721992,0.648026219,323.4539245,0.033215616,0.42845381,0.57154619,2.04E-04,0.006724261,0.450242718,0.549757282,0.154747099,0.149247492,4.546817807,0.298951688,,
40109101300,0.527421652,0.272792023,0.30407866,0.180851064,0.205,0.942663818,0.046837277,0.011158138,0.645833333,0.024520256,0.125637291,0.202840495,0.2225,0.325,0.07,202.7590731,0.345321654,309.7013969,0.031351375,0.526633149,0.473366851,2.48E-04,0.008879159,0.656840514,0.343159486,0.12511342,0.101623489,5.535949441,1.353488881,,
40109101400,0.479296066,0.248447205,0.314699793,0.111416781,0.292134831,0.974120083,0.054304636,0,0.543820225,0.156549521,0.102484472,0.113871636,0.211235955,0.197752809,0.035955056,208.0079407,0.585579613,293.538149,0.029160345,0.480759447,0.519240553,2.02E-04,0.006626311,0.53082466,0.46917534,0.128167753,0.251035782,5.825074767,1.661732396,,
40109101500,0.503840246,0.186379928,0.176347462,0.09079118,0.073863636,0.757296467,0.013924051,0.014672686,0.548863636,0.106167846,0.119097587,0.135886674,0.079545455,0.185227273,0.027272727,210.1462199,0.683455696,402.4468258,0.043923598,0.407405202,0.592594798,2.74E-04,0.010152508,0.324519231,0.675480769,0.125766834,0.117693237,5.268244294,1.06808194,,
40109101800,0.464285714,0.141666667,0.039015606,0.039358601,0.033121019,0.295833333,0.012151537,0.005198181,0.438216561,0.029590949,0.059756098,0.098170732,0.039490446,0.008917197,0.024203822,209.1387208,0.637339143,227.1875833,0.020166111,0.474972365,0.525027635,1.92E-04,0.006136562,0.494305239,0.505694761,0.189702522,0.108545198,3.721588395,-0.580845378,,
40109101900,0.4843503,0.171040152,0.162664105,0.109026964,0.028436019,0.251343661,0.004663817,0.085674157,0.542992552,0.068829892,0.09313888,0.088167053,0.051455653,0.077860528,0.015572106,209.2571475,0.642759924,294.294558,0.029262881,0.464580029,0.535419971,2.03E-04,0.006675286,0.487859966,0.512140034,0.191441894,0.065878983,4.218794812,-0.050761573,,
40109102000,0.483952398,0.197980527,0.137396322,0.108770421,0.077287066,0.309772809,0.010552976,0.065637066,0.434542587,0.010638298,0.137035701,0.104219257,0.082018927,0.105678233,0.011041009,208.098846,0.589740649,414.6358054,0.04557589,0.512375736,0.487624264,2.05E-04,0.006773236,0.645235362,0.354764638,0.186086319,0.060853739,4.007942332,-0.275556509,,
40109102100,0.5,0.169441724,0.087659158,0.068965517,0.08915145,0.212047013,0.033252721,0.030665281,0.320085929,0.005376344,0.13467189,0.101371205,0.001074114,0.035445757,0.008592911,206.7395826,0.527522685,266.5436115,0.025501067,0.492076813,0.507923187,1.88E-04,0.005940662,0.586148649,0.413851351,0.136949716,0.092271881,3.507761563,-0.808811343,,
40109102200,0.453246753,0.203030303,0.116755793,0.326985854,0.067978533,0.192207792,0.023193096,0.086833412,0.478533095,0,0.296542553,0.111702128,0.099284436,0.135062612,0.020572451,207.0872109,0.543434778,381.0488897,0.041022974,0.501723821,0.498276179,1.97E-04,0.006381437,0.558674902,0.441325098,0.133338551,0.079476139,4.355183966,0.094646208,,
40109102300,0.485362608,0.224550898,0.140385895,0.202788845,0.130636605,0.383898869,0.040609137,0.131347326,0.457559682,0.070594775,0.26746507,0.138389887,0.075596817,0.121352785,0.047745358,208.52238,0.609127195,437.9934481,0.048742165,0.49967565,0.50032435,2.08E-04,0.006920161,0.588036117,0.411963883,0.183298606,0.056108727,4.734769644,0.499331694,,
40109102400,0.456539075,0.223285486,0.107913669,0.340659341,0.07309322,0.755582137,0.048086867,0.243781095,0.548728814,0.010122921,0.36011191,0.116306954,0.093220339,0.201271186,0.011652542,209.1402508,0.637409177,271.4754026,0.026169602,0.487986694,0.512013306,2.17E-04,0.007360936,0.513194834,0.486805166,0.17198659,0.064620832,5.496721164,1.311666666,,
40109102500,0.390031646,0.119462025,0.318037975,0.051028807,0.122199593,0.290348101,0.010699588,0.01703163,0.99592668,0.038309115,0.159739201,0.145884271,0.097759674,0.121181263,0,211.9210325,0.764694715,142.3740911,0.008669112,0.250128712,0.749871288,2.12E-04,0.007116061,0.085205993,0.914794007,0.19952989,0,5.522314641,1.338952492,,
40109103200,0.253785385,0.065174457,0.148205928,0.221733243,0.066997519,0.560895326,0.004400812,0.012020033,0.853598015,0.101030928,0.206299213,0.163779528,0.018610422,0.032258065,0.018610422,213.3140626,0.828458291,179.7469951,0.013735243,0.257124073,0.742875927,2.18E-04,0.007409911,0.1,0.9,0.193662425,0.051943968,5.46548506,1.278365099,,
